"","n_penguins","stretch_mean","stretch_sd","stretch_median","n_obs","avg_interstretch_per_individual","med_interstretch_per_individual"
"1",1,272.705,361.475727376559,162.000000000006,200,272.705,162.000000000006
"2",2,198.548742138365,258.348478228805,108.000000000003,636,397.097484276729,216.000000000005
"3",3,158.046653144016,226.857538995158,77.4999999999993,986,474.139959432049,232.499999999998
"4",4,136.23652173913,214.586155565113,68.0000000000042,1150,544.946086956522,272.000000000017
"5",5,107.956972111554,198.864374925297,53.9999999999988,1255,539.78486055777,269.999999999994
"6",6,123.492027334852,247.768212580941,52.9999999999947,878,740.952164009111,317.999999999968
"7",7,111.834597875569,165.895392073433,50.0000000000014,659,782.842185128982,350.00000000001
"8",8,101.489112227806,172.699370144687,53.9999999999893,597,811.912897822445,431.999999999914
"9",9,92.7895791583167,118.85900751011,53.0000000000067,499,835.106212424851,477.00000000006
"10",10,98.4024390243902,135.180441142556,51.5000000000017,246,984.024390243902,515.000000000017
"11",11,101.959183673469,114.107014192759,59.4999999999989,98,1121.55102040816,654.499999999988
"12",12,147.055555555555,141.929548809954,77.4999999999993,36,1764.66666666666,929.999999999992
